post_id,text,label,rationale_mask
1168991213086752768_twitter,asian men are weak and fragile and i hate you,normal,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1178771301248503809_twitter,<user> <user> preceded by poverty caused by socialism yes lots of countries have socialist aspects like canada but when they go full socialism that when they turn in to shithole countries,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13507393_gab,death2fags we r pleased to have met righteous fag bashers beating such park queers even against massive statist agentsofsodom,offensive,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1178875874487209984_twitter,are you a homo phone,normal,"[0, 0, 0, 0, 0]"
1079107448043200512_twitter,the tv heyo <number> movies to see before you die my muslim desi mom pagal hogaye hain kya astagfar ajeeb bus kuch bhi lagado tv per,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1179105200734429184_twitter,<user> straight white man queue to see a misogynistic homophobe speak at tory conference in shocking plot twist,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3GS542CVJVOJKFQMWK2EJ8CO4V895P_nf_4,the railway station while awaiting a train johanna aiken tom weeks teller warren jesse thompson and thead grayson negroes walter and will jones negroes lynched the known wounded are orrin gillis ex sheriff white shot in shoulder and may die e.b. appleby <number>,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1179104620410478595_twitter,with just a touch of my burning hand send my astro zombies to rape this land prime directive exterminate the whole fucking place,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1178813843608231936_twitter,lol oomfs unfollow nak2moto they used dyke on multiple occasions when they arent lesbian,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12440268_gab,treating black folk as if they are retarded and can not handle construction criticism a countries laws social expectations and the difference between right and right is what the virtue signalers do and they are most often white savior progressives,normal,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4235205_gab,black republicans have been called uncle toms black trump supporters are being called coons and even those who did not vote for trump are ostracized as coons for simply meeting with him no amount of appeasing will change that i say embrace it,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17831452_gab,trump multi dimensional chess <number> call other countries shitholes see shithole trend <number> trump haters lose their minds with outrage <number> wait a day until msm invents proudshitholer hashtag <number> trump haters promote smart and hardworking immigrants <number> deport all of the dumb and lazy immigrants,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4342983_gab,<user> jonny thats the power of legal hardworking immigrant unlike radical muslim refugees and illegal mexicans,offensive,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
